response,ArrivalDateYear,ArrivalDateMonth,StaysInWeekendNights,StaysInWeekNights,MarketSegment,DistributionChannel,IsRepeatedGuest,PreviousCancellations,PreviousBookingsNotCanceled,ReservedRoomType,BookingChanges,Agent,Company,DaysInWaitingList,CustomerType,ADR,RequiredCarParkingSpaces,TotalOfSpecialRequests
2,2016,June,0,5,Online TA,TA/TO,0,0,0,A,0,242,NA,0,Transient,72,0,0
2,2015,August,2,5,Offline TA/TO,TA/TO,0,1,0,A,0,6,NA,0,Transient-Party,119.7,0,2
2,2016,July,0,3,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,179,0,1
1,2015,October,0,3,Corporate,Corporate,0,0,0,A,0,NA,NA,0,Contract,50,0,0
1,2016,July,2,5,Direct,Direct,0,0,0,C,0,250,NA,0,Transient,222,0,1
1,2016,February,0,1,Online TA,TA/TO,0,0,0,G,0,240,NA,0,Transient,82,1,0
1,2016,August,0,1,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,231,1,0
2,2016,March,0,3,Offline TA/TO,TA/TO,0,0,0,A,0,314,NA,0,Transient,70.8,0,1
1,2016,October,1,3,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,81,1,0
2,2016,November,0,1,Online TA,TA/TO,0,0,0,E,0,241,NA,0,Transient,43.65,0,1
2,2016,June,1,2,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient-Party,129,0,0
1,2016,October,0,3,Direct,Direct,0,0,0,D,0,250,NA,0,Transient,70,0,0
1,2015,November,0,1,Direct,Direct,0,0,0,D,0,NA,NA,0,Transient,63,0,0
1,2016,May,1,1,Groups,TA/TO,0,0,0,A,0,298,NA,0,Transient-Party,85,0,0
1,2015,September,3,5,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,76.5,1,2
1,2015,August,2,4,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,208,1,0
1,2015,September,0,2,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,89,0,3
1,2015,August,2,5,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,120.6,0,1
1,2015,October,1,3,Groups,Corporate,0,0,0,A,0,NA,223,0,Transient-Party,44.5,0,0
1,2016,November,2,1,Online TA,TA/TO,0,0,0,A,1,240,NA,0,Transient,54,0,2
1,2016,December,1,2,Groups,TA/TO,0,0,0,A,0,134,NA,0,Transient-Party,84,0,0
2,2016,August,0,2,Online TA,TA/TO,0,0,0,D,1,240,NA,0,Transient,229,0,3
1,2015,September,2,5,Direct,Direct,0,0,0,A,0,NA,NA,0,Transient,73.8,0,0
1,2016,April,0,1,Corporate,Corporate,0,0,0,A,0,NA,94,0,Transient-Party,39,0,0
1,2016,June,0,2,Direct,Direct,0,0,0,A,0,250,NA,0,Transient,120,1,0
2,2015,November,0,4,Corporate,Corporate,0,0,0,A,0,281,NA,0,Transient-Party,40,0,0
1,2016,September,4,10,Offline TA/TO,TA/TO,0,0,0,D,1,243,NA,0,Contract,62.9,0,1
1,2015,July,2,5,Online TA,TA/TO,0,0,0,D,0,241,NA,0,Transient,95.27,0,3
2,2016,March,2,7,Online TA,TA/TO,0,0,0,G,0,240,NA,0,Transient,102.33,0,0
2,2016,June,3,6,Offline TA/TO,TA/TO,0,1,0,A,0,177,NA,0,Transient-Party,67,0,0
2,2016,September,2,4,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,90,0,1
1,2016,February,4,10,Offline TA/TO,TA/TO,0,0,0,E,1,363,NA,0,Transient,79,0,0
2,2016,July,2,5,Offline TA/TO,TA/TO,0,0,0,A,0,196,NA,0,Transient,115,0,1
1,2016,June,2,5,Offline TA/TO,TA/TO,0,0,0,E,1,5,NA,0,Transient,135.83,0,0
1,2016,July,2,5,Offline TA/TO,TA/TO,0,0,0,A,0,243,NA,0,Contract,90.1,0,1
2,2016,February,1,4,Offline TA/TO,TA/TO,0,0,0,A,0,6,NA,0,Transient,55,0,0
1,2015,December,2,1,Online TA,TA/TO,0,0,0,A,2,240,NA,0,Transient,68.45,0,2
2,2016,May,1,0,Groups,TA/TO,0,0,0,A,0,315,NA,0,Transient-Party,70,0,0
1,2016,July,0,1,Direct,Direct,0,0,0,F,0,NA,NA,0,Transient,149,0,0
2,2016,October,1,0,Corporate,Corporate,0,0,0,A,0,NA,394,0,Transient-Party,41.4,0,0
1,2016,May,0,1,Offline TA/TO,TA/TO,0,0,0,A,0,330,NA,0,Transient,68,0,0
2,2016,December,2,1,Groups,TA/TO,0,0,0,A,0,38,NA,0,Transient,72,0,0
1,2015,August,2,5,Offline TA/TO,TA/TO,0,0,0,A,0,142,NA,0,Contract,96.3,0,1
1,2016,October,0,1,Corporate,Corporate,1,0,7,A,0,NA,269,0,Transient,45,0,0
1,2016,August,4,8,Direct,Direct,0,0,0,E,1,NA,NA,0,Transient-Party,265,0,2
2,2016,March,0,1,Online TA,TA/TO,0,0,0,A,1,240,NA,0,Transient,80,0,1
1,2015,December,1,1,Online TA,TA/TO,0,0,0,D,1,240,NA,0,Transient,52,0,1
1,2016,February,0,2,Online TA,TA/TO,0,0,0,A,1,240,NA,0,Transient,43,0,0
1,2015,October,2,4,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,57.67,0,0
1,2015,July,0,2,Online TA,TA/TO,0,0,0,G,0,241,NA,0,Transient,187.11,1,0
2,2016,January,0,1,Groups,Direct,0,0,0,A,0,305,NA,0,Transient,72,0,0
2,2016,July,0,3,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,160,0,0
1,2016,August,0,5,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,219,0,1
1,2016,May,2,7,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,92,0,1
1,2015,December,0,3,Direct,Direct,0,0,1,E,0,NA,NA,0,Transient,169.48,1,2
1,2016,October,4,7,Offline TA/TO,TA/TO,0,0,0,D,1,NA,NA,0,Transient,64.83,0,0
1,2016,March,2,0,Direct,Direct,0,0,0,A,0,250,NA,0,Transient,43.2,0,1
1,2016,April,0,2,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,114,1,1
1,2016,October,1,2,Direct,Corporate,1,0,0,E,1,NA,NA,0,Transient,80,0,1
2,2016,May,0,2,Groups,TA/TO,0,0,0,A,0,249,NA,0,Transient-Party,67,0,0
1,2015,August,1,4,Online TA,TA/TO,0,0,0,E,5,242,NA,0,Transient,0,0,0
1,2015,July,4,10,Direct,Direct,0,0,0,E,1,NA,NA,0,Transient,160,0,0
2,2015,July,2,3,Online TA,TA/TO,0,1,0,A,1,240,NA,0,Transient,164,0,1
1,2016,May,2,5,Direct,Direct,0,0,0,A,0,250,NA,0,Transient,79.3,0,2
1,2016,March,1,0,Offline TA/TO,TA/TO,0,0,0,A,0,339,NA,0,Transient,35,1,0
2,2015,September,2,5,Groups,TA/TO,0,1,0,A,0,96,NA,0,Transient-Party,8,0,0
1,2016,January,0,1,Direct,Direct,0,0,0,A,0,NA,NA,0,Transient,45,0,0
1,2016,June,2,5,Offline TA/TO,TA/TO,0,0,0,E,2,143,NA,0,Transient,98.6,0,3
1,2015,December,2,3,Offline TA/TO,TA/TO,0,0,0,E,0,171,NA,0,Transient,57,0,0
1,2015,August,3,7,Offline TA/TO,TA/TO,0,0,0,E,0,175,NA,0,Transient,87.75,0,0
1,2016,May,1,1,Groups,TA/TO,0,0,0,A,0,298,NA,0,Transient-Party,85,0,0
1,2015,August,4,6,Online TA,TA/TO,0,0,0,F,2,240,NA,0,Transient,201.8,2,1
1,2015,November,1,5,Offline TA/TO,TA/TO,0,0,0,A,0,314,NA,0,Contract,25.92,0,0
1,2016,May,0,3,Groups,TA/TO,0,0,0,A,1,315,NA,0,Transient-Party,48,0,0
1,2016,August,2,2,Online TA,TA/TO,0,0,0,D,1,241,NA,0,Transient,141.91,0,1
1,2016,November,0,2,Direct,Direct,0,0,0,A,0,NA,NA,0,Transient,49,1,0
2,2015,September,0,3,Groups,Corporate,0,1,0,A,0,NA,223,0,Transient,40.05,0,0
1,2016,April,0,1,Corporate,Corporate,0,0,15,A,0,NA,204,0,Transient,50,0,0
1,2016,February,1,1,Online TA,TA/TO,0,0,0,A,0,241,NA,0,Transient,36.96,0,2
1,2016,June,0,5,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,64.8,0,1
1,2016,September,1,2,Offline TA/TO,TA/TO,0,0,0,A,0,NA,NA,0,Transient-Party,82.4,0,1
1,2016,April,2,5,Groups,TA/TO,0,0,0,A,1,91,NA,0,Transient-Party,37.43,0,0
1,2015,August,1,3,Offline TA/TO,TA/TO,0,0,0,A,0,134,NA,0,Transient,107,0,0
2,2016,April,0,1,Groups,TA/TO,0,0,0,A,0,146,NA,0,Transient-Party,45,0,0
1,2015,October,1,2,Offline TA/TO,TA/TO,0,0,0,A,0,196,NA,0,Transient,44.5,0,0
1,2016,August,2,5,Offline TA/TO,TA/TO,0,0,0,D,0,171,NA,0,Transient,140.31,0,1
1,2015,December,0,2,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,48,0,1
1,2016,May,2,0,Corporate,Corporate,0,0,0,A,1,NA,135,0,Transient-Party,60,0,0
2,2016,May,2,4,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,79.2,0,1
1,2016,June,2,1,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,129,1,1
2,2015,August,1,0,Corporate,Corporate,0,0,0,E,0,110,NA,0,Transient,184.45,0,0
1,2015,October,1,2,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,62,1,1
1,2016,May,0,2,Groups,TA/TO,0,0,0,A,0,248,NA,0,Transient-Party,39,0,0
2,2016,October,0,5,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,79,0,0
1,2015,November,2,4,Online TA,TA/TO,0,0,0,E,1,240,NA,0,Transient,111.5,1,2
2,2016,August,2,9,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,189,0,0
1,2016,October,2,0,Groups,Corporate,0,0,0,A,1,NA,NA,0,Transient-Party,55,0,0
1,2016,January,1,0,Corporate,Corporate,0,0,0,A,0,NA,274,0,Transient,38,0,0
1,2016,September,0,1,Direct,Direct,0,0,0,D,0,250,NA,0,Transient,160,0,0
1,2016,October,0,1,Direct,Direct,0,0,0,E,2,250,NA,0,Transient,151,1,0
1,2016,March,0,2,Direct,Direct,0,0,0,F,0,250,NA,0,Transient,142,0,1
1,2016,December,0,1,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient-Party,65,0,1
2,2016,June,2,5,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,99,0,2
1,2016,September,0,3,Direct,Direct,0,0,0,G,0,250,NA,0,Transient,221,1,0
1,2015,October,0,3,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient-Party,82,1,2
1,2016,November,1,2,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,46.8,0,2
1,2016,February,2,1,Online TA,TA/TO,0,0,0,A,1,240,NA,0,Transient,43,0,0
1,2016,February,0,3,Direct,TA/TO,1,0,0,H,2,NA,NA,0,Transient-Party,100,0,2
1,2016,April,0,2,Direct,Direct,0,0,0,D,0,NA,NA,0,Transient,85,0,0
1,2016,April,1,1,Groups,TA/TO,0,0,0,A,0,298,NA,0,Transient-Party,85,0,0
2,2016,September,0,3,Groups,TA/TO,0,0,0,D,0,1,NA,0,Transient,89,0,0
2,2015,October,0,1,Groups,Direct,0,0,0,A,0,NA,NA,0,Transient,39,0,0
1,2015,October,0,2,Offline TA/TO,TA/TO,0,0,0,A,0,208,NA,0,Transient-Party,70,0,0
2,2015,July,2,6,Offline TA/TO,TA/TO,0,0,0,D,0,8,NA,0,Contract,115.5,0,0
2,2016,July,2,3,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,108,0,2
1,2016,August,4,10,Offline TA/TO,TA/TO,0,0,0,A,1,40,NA,0,Contract,80.03,0,1
2,2016,August,2,5,Offline TA/TO,TA/TO,0,0,0,E,0,314,NA,0,Transient,121.47,0,1
1,2016,February,1,1,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,48,0,1
1,2016,March,1,5,Groups,TA/TO,0,0,0,A,0,38,NA,0,Transient-Party,65.4,0,0
2,2016,May,0,2,Groups,TA/TO,0,0,0,A,0,248,NA,0,Transient-Party,46,0,0
2,2016,April,0,2,Corporate,Corporate,0,0,0,A,0,NA,NA,0,Transient,42,0,1
1,2016,May,1,1,Corporate,Corporate,1,0,8,A,0,270,NA,0,Transient,42,0,0
1,2016,March,0,0,Online TA,TA/TO,0,0,0,G,0,240,NA,0,Transient,0,0,0
1,2016,December,1,2,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,80,1,0
1,2015,September,1,1,Groups,TA/TO,0,0,0,A,0,208,NA,0,Transient-Party,90,0,0
2,2016,February,1,1,Groups,Direct,0,0,0,A,0,38,NA,0,Transient-Party,64,0,0
1,2016,May,2,5,Offline TA/TO,TA/TO,0,0,0,D,0,314,NA,0,Transient,52.56,0,1
2,2016,July,2,3,Online TA,TA/TO,0,0,0,G,0,240,NA,0,Transient,240,0,0
1,2016,February,0,4,Offline TA/TO,TA/TO,0,0,0,C,0,196,NA,0,Transient,46.5,0,0
1,2016,October,0,2,Direct,Direct,0,0,0,A,0,NA,NA,0,Transient,120,0,0
1,2015,October,0,1,Offline TA/TO,TA/TO,0,0,0,A,0,175,NA,0,Transient,39.2,0,0
1,2016,November,0,2,Corporate,Corporate,1,1,2,A,0,NA,403,0,Transient,35,0,0
1,2016,February,2,1,Groups,Direct,0,0,0,D,0,NA,NA,0,Transient-Party,73.33,0,0
2,2016,August,1,5,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,231,0,0
1,2016,July,2,5,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,128.57,0,2
1,2016,October,0,1,Direct,Direct,0,0,0,A,0,NA,NA,0,Transient,90,1,0
1,2016,December,0,1,Online TA,Direct,1,0,1,D,0,240,NA,0,Group,103,0,2
1,2016,October,2,5,Online TA,TA/TO,0,0,0,A,1,242,NA,0,Transient,67.57,0,1
1,2015,November,1,0,Direct,Direct,0,0,0,A,0,NA,NA,0,Transient,40,0,0
1,2015,November,1,0,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,40,0,0
2,2016,May,1,2,Online TA,TA/TO,0,0,0,G,0,240,NA,0,Transient,113,0,0
1,2015,August,2,2,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,211,0,1
1,2015,August,1,0,Groups,Corporate,0,0,0,A,0,NA,307,0,Transient-Party,172,0,0
1,2016,November,2,0,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,69,1,1
1,2016,January,0,1,Direct,Direct,0,0,0,E,2,250,NA,0,Transient,65,0,1
2,2016,February,0,2,Groups,TA/TO,0,0,0,A,0,NA,NA,0,Transient,50,0,0
1,2016,April,2,3,Offline TA/TO,TA/TO,0,0,0,D,0,314,NA,0,Transient,52.56,0,0
1,2016,December,1,1,Direct,Direct,0,0,0,D,0,NA,NA,0,Transient,202.5,0,1
1,2015,December,2,4,Online TA,TA/TO,0,0,0,G,1,240,NA,0,Transient,101.5,0,0
1,2016,March,0,3,Groups,Direct,0,0,0,A,1,NA,223,0,Transient-Party,66,0,0
1,2016,December,1,5,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,68.67,0,1
1,2015,September,2,5,Offline TA/TO,TA/TO,0,0,0,A,0,156,NA,0,Contract,55.68,0,0
1,2015,July,3,5,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,151,0,1
1,2016,August,2,5,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,168.71,0,1
2,2015,August,0,2,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,120.6,0,1
1,2016,May,4,10,Offline TA/TO,TA/TO,0,0,0,A,0,243,NA,0,Contract,38.83,0,0
2,2015,December,2,5,Offline TA/TO,TA/TO,0,0,0,A,0,314,NA,0,Transient-Party,55,0,0
1,2015,December,0,1,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,65,0,1
1,2016,April,1,2,Online TA,TA/TO,0,0,0,A,0,241,NA,0,Transient,60.96,0,1
2,2016,January,1,3,Groups,Corporate,0,0,0,A,0,NA,174,0,Transient-Party,68,0,0
1,2016,February,1,2,Offline TA/TO,TA/TO,0,0,0,A,0,115,NA,0,Transient,26.1,0,0
1,2016,April,0,1,Direct,Direct,0,0,0,A,0,NA,NA,0,Transient-Party,64,0,0
1,2015,September,2,5,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,109.71,0,2
2,2016,August,1,4,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,195,0,1
1,2016,November,0,2,Direct,Direct,0,0,0,A,1,250,NA,0,Transient,48.3,0,0
1,2015,July,0,2,Direct,Direct,0,0,0,A,0,NA,NA,0,Transient,124.5,0,2
1,2015,September,4,8,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,83.67,0,1
1,2016,April,0,2,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,64,1,1
1,2016,September,0,1,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,106,0,1
2,2016,August,2,5,Direct,Direct,0,0,0,A,0,NA,NA,0,Transient,213,0,1
1,2015,September,0,2,Offline TA/TO,TA/TO,0,0,0,A,0,171,NA,0,Transient,65.5,0,0
1,2016,October,2,2,Offline TA/TO,TA/TO,0,0,0,A,0,96,NA,0,Transient,41,0,1
1,2016,January,0,1,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,48,0,1
1,2015,November,0,2,Groups,TA/TO,0,0,0,A,0,38,NA,0,Transient-Party,64,0,0
1,2016,February,1,3,Online TA,TA/TO,0,0,0,A,1,240,NA,0,Transient,43,0,0
1,2015,August,0,4,Online TA,TA/TO,0,0,0,A,1,240,NA,0,Transient,166,0,0
2,2016,April,2,5,Groups,TA/TO,0,0,0,D,0,71,NA,0,Transient,58,0,0
1,2016,October,0,1,Corporate,Corporate,0,0,0,A,0,NA,460,0,Transient,54.9,0,0
2,2016,July,1,4,Online TA,TA/TO,0,0,0,A,0,314,NA,0,Transient,143.2,0,0
1,2016,May,1,0,Corporate,Corporate,0,0,0,D,0,110,NA,0,Transient-Party,85,0,3
2,2016,August,0,2,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,221,0,0
1,2016,May,1,0,Direct,TA/TO,1,0,2,F,0,NA,NA,0,Transient,115,1,1
2,2016,April,1,3,Groups,TA/TO,0,0,0,A,0,257,NA,0,Transient,80,0,0
1,2015,September,2,5,Offline TA/TO,TA/TO,0,0,0,A,0,243,NA,0,Contract,70.98,0,2
1,2016,October,2,3,Groups,Corporate,0,0,0,A,1,NA,NA,0,Transient-Party,55,0,0
1,2016,June,2,5,Offline TA/TO,TA/TO,0,0,0,D,0,243,NA,0,Contract,90.9,0,1
1,2016,May,0,1,Corporate,Corporate,1,0,1,A,0,NA,154,0,Transient,39,0,0
1,2015,October,0,3,Corporate,Corporate,0,0,0,A,0,281,NA,50,Contract,45,0,0
1,2016,August,2,3,Direct,Direct,0,0,0,E,2,250,NA,0,Transient,283,0,0
1,2016,September,1,0,Direct,Direct,0,0,0,E,1,250,NA,0,Transient,157,1,2
2,2015,December,2,1,Groups,TA/TO,0,0,0,A,0,134,NA,0,Transient-Party,70,0,0
1,2016,March,1,3,Offline TA/TO,TA/TO,0,0,0,A,0,115,NA,0,Transient-Party,35.24,0,0
2,2016,June,2,3,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,107,0,0
1,2015,August,3,8,Offline TA/TO,TA/TO,0,0,0,D,1,40,NA,0,Contract,67.58,0,0
1,2016,March,2,1,Online TA,TA/TO,0,0,0,G,0,240,NA,0,Transient,93,1,0
2,2016,July,2,5,Online TA,TA/TO,0,0,0,A,1,240,NA,0,Transient,99.9,0,0
1,2016,January,0,1,Direct,Direct,0,0,0,D,0,NA,NA,0,Transient-Party,38,0,0
2,2016,December,2,1,Groups,TA/TO,0,0,0,A,0,38,NA,0,Transient,72,0,0
2,2016,August,4,12,Offline TA/TO,TA/TO,0,0,0,E,0,156,NA,0,Transient,141.1,0,0
1,2015,December,0,1,Corporate,Corporate,1,0,1,A,0,NA,9,0,Transient,35,0,0
1,2016,July,4,10,Online TA,TA/TO,0,0,0,A,2,241,NA,0,Transient,113.31,0,1
1,2016,March,0,1,Online TA,Direct,1,0,7,A,0,314,NA,0,Transient,42.4,0,0
1,2015,December,1,2,Online TA,TA/TO,0,0,0,A,2,240,NA,0,Transient,56.33,1,0
1,2015,October,0,1,Direct,Direct,0,0,0,A,1,NA,NA,0,Transient,73,1,0
1,2016,December,2,5,Offline TA/TO,TA/TO,0,0,0,A,1,464,NA,0,Transient,64,0,0
2,2015,November,2,6,Corporate,Corporate,0,0,0,A,0,281,NA,0,Transient-Party,40,0,0
2,2016,October,0,0,Groups,Corporate,0,0,0,A,2,NA,405,0,Transient-Party,0,0,1
1,2016,March,0,2,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,185.5,1,2
1,2016,March,0,1,Direct,Direct,0,0,0,A,0,NA,NA,0,Transient,55,0,0
1,2015,November,0,1,Offline TA/TO,TA/TO,0,0,0,A,0,171,NA,0,Transient,49.5,0,0
1,2016,March,0,3,Groups,TA/TO,0,0,0,A,0,115,NA,0,Transient-Party,86.55,0,0
1,2015,October,1,0,Online TA,TA/TO,0,0,0,E,1,240,NA,0,Transient,106,0,1
1,2015,November,2,4,Offline TA/TO,TA/TO,0,0,0,A,0,313,NA,65,Transient-Party,69,0,0
1,2015,September,0,1,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,74,0,1
1,2015,December,0,3,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,110.67,0,0
1,2016,September,0,3,Direct,TA/TO,0,0,0,A,0,250,NA,0,Transient,176.1,1,2
1,2016,February,2,2,Direct,Direct,0,0,0,A,0,250,NA,0,Transient,45,0,0
2,2016,August,0,4,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,240,0,0
1,2016,March,2,2,Groups,Direct,0,0,0,E,0,NA,NA,0,Transient-Party,81,0,0
1,2016,November,1,5,Offline TA/TO,TA/TO,0,0,0,A,0,40,NA,0,Transient,32.3,0,0
2,2016,May,1,1,Groups,TA/TO,0,0,0,A,0,298,NA,0,Transient-Party,85,0,0
2,2015,August,2,5,Offline TA/TO,TA/TO,0,0,0,A,0,105,NA,0,Transient-Party,154.38,0,1
2,2016,June,2,5,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,77.14,0,1
1,2015,December,1,1,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,40,0,0
1,2016,February,0,3,Direct,Direct,0,0,0,E,0,250,NA,0,Transient,98.67,1,2
1,2016,November,0,1,Online TA,TA/TO,1,0,1,A,0,240,NA,0,Transient,60,0,2
1,2016,August,2,5,Offline TA/TO,TA/TO,0,0,0,A,1,75,NA,0,Contract,79.9,0,1
1,2016,May,2,5,Offline TA/TO,TA/TO,0,0,0,D,0,243,NA,0,Contract,48.18,0,0
1,2015,August,2,5,Offline TA/TO,TA/TO,0,0,0,D,0,142,NA,0,Transient,147.09,0,1
2,2016,June,0,3,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,124,0,0
2,2015,August,2,2,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,186,0,1
1,2016,June,2,4,Direct,Direct,0,0,0,E,1,250,NA,0,Transient,181.9,0,0
1,2016,June,1,3,Online TA,TA/TO,0,0,0,A,3,240,NA,0,Transient,99,0,2
2,2015,September,0,3,Groups,Corporate,0,1,0,A,0,NA,223,0,Transient,33.3,0,0
1,2016,January,2,5,Offline TA/TO,TA/TO,0,0,0,A,0,314,NA,0,Transient,36.14,0,1
1,2016,August,0,0,Online TA,TA/TO,0,0,0,A,0,339,NA,0,Transient-Party,0,0,1
2,2016,October,2,5,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,62.29,0,0
1,2016,May,1,1,Corporate,Corporate,1,0,6,A,0,47,NA,0,Transient,57,0,0
1,2016,December,0,2,Groups,Direct,0,0,0,A,0,NA,NA,0,Transient-Party,305,0,1
2,2016,April,1,1,Online TA,TA/TO,0,0,0,A,0,241,NA,0,Transient,48.06,0,1
1,2015,September,3,7,Offline TA/TO,TA/TO,0,0,0,D,0,40,NA,0,Contract,62.48,0,0
1,2016,February,2,5,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,39,0,2
2,2016,June,1,3,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,72,0,1
2,2016,December,0,4,Offline TA/TO,TA/TO,0,0,0,E,0,6,NA,0,Transient,86.4,0,0
1,2016,April,3,5,Online TA,TA/TO,0,0,0,D,0,241,NA,0,Transient,90.49,0,0
1,2016,December,0,1,Direct,Direct,0,0,0,A,0,NA,NA,0,Transient-Party,39,0,0
1,2016,February,2,2,Direct,Direct,1,0,5,A,2,NA,NA,0,Transient,46,1,0
1,2016,March,0,3,Offline TA/TO,TA/TO,0,0,0,A,1,387,NA,0,Transient-Party,42,0,0
1,2016,September,0,2,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,137,0,1
1,2016,March,2,5,Offline TA/TO,TA/TO,0,0,0,E,0,115,NA,0,Transient,83.33,0,1
2,2016,June,2,8,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,72,0,1
1,2016,August,0,5,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,126,0,0
1,2015,October,2,5,Offline TA/TO,TA/TO,0,0,0,C,0,2,NA,0,Contract,130.07,0,1
1,2015,August,4,10,Online TA,TA/TO,0,0,0,C,1,241,NA,0,Transient,113.47,0,1
1,2016,December,0,2,Groups,Direct,0,0,0,E,0,NA,NA,0,Transient-Party,340,0,1
1,2016,August,2,5,Offline TA/TO,TA/TO,0,0,0,D,0,243,NA,0,Contract,92.1,0,0
1,2015,December,0,1,Online TA,TA/TO,0,0,0,A,2,240,NA,0,Transient-Party,48,0,2
1,2015,July,2,4,Direct,Direct,0,0,0,D,1,250,NA,0,Transient,99.67,0,1
1,2016,September,2,5,Direct,Direct,0,0,0,A,0,NA,NA,0,Transient,131.1,0,0
2,2015,December,4,9,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,50.33,0,2
1,2016,November,2,5,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,55.8,0,1
1,2015,October,0,2,Offline TA/TO,TA/TO,0,0,0,A,1,208,NA,0,Transient-Party,70,0,0
2,2016,May,1,0,Groups,TA/TO,0,0,0,A,0,315,NA,0,Transient-Party,70,0,0
2,2016,October,2,3,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,75,0,1
1,2015,December,1,2,Direct,Direct,0,0,0,A,0,NA,NA,0,Transient,45,0,0
2,2016,April,0,2,Groups,TA/TO,0,0,0,A,0,245,NA,0,Transient,86,0,0
1,2016,April,1,1,Groups,TA/TO,0,0,0,A,1,298,NA,0,Transient-Party,54.5,0,0
2,2015,September,0,3,Direct,Direct,0,0,0,A,0,NA,NA,0,Group,0,0,0
1,2016,June,0,5,Online TA,TA/TO,0,0,0,A,2,240,NA,0,Transient,84,1,0
1,2016,October,0,2,Corporate,Corporate,1,0,1,A,0,NA,269,0,Transient,51,1,0
1,2016,April,2,6,Direct,Direct,0,0,0,A,0,250,NA,0,Transient-Party,88,0,0
2,2016,May,1,0,Groups,TA/TO,0,0,0,A,0,315,NA,0,Transient-Party,70,0,0
1,2016,September,1,5,Online TA,TA/TO,0,0,0,G,0,240,NA,0,Transient,211,1,0
