LeadTime,ArrivalDateYear,StaysInWeekendNights,StaysInWeekNights,MarketSegment,DistributionChannel,IsRepeatedGuest,PreviousCancellations,PreviousBookingsNotCanceled,ReservedRoomType,BookingChanges,Agent,Company,DaysInWaitingList,CustomerType,ADR,RequiredCarParkingSpaces,TotalOfSpecialRequests
33,2017,4,8,Offline TA/TO,TA/TO,0,0,0,D,0,40,NA,0,Contract,106.85,0,1
169,2016,0,3,Groups,Direct,0,0,0,A,1,NA,223,0,Transient-Party,66,0,0
3,2017,0,2,Direct,Direct,0,0,0,A,0,250,NA,0,Transient-Party,44,0,1
34,2017,1,5,Online TA,TA/TO,0,0,0,F,0,241,NA,0,Transient,231.84,0,2
10,2016,0,2,Online TA,TA/TO,0,0,0,A,1,240,NA,0,Transient,54,1,2
111,2016,0,2,Groups,TA/TO,0,0,0,A,0,38,NA,0,Transient,70,0,0
2,2017,0,1,Direct,Direct,0,1,29,A,0,NA,NA,0,Transient,45,0,0
74,2017,2,5,Online TA,TA/TO,0,0,0,G,0,240,NA,0,Transient,113.29,0,1
255,2015,1,2,Offline TA/TO,TA/TO,0,0,0,A,0,156,NA,0,Contract,96.3,0,0
0,2016,0,0,Offline TA/TO,TA/TO,1,0,0,D,0,314,NA,0,Transient,0,0,0
96,2016,2,6,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,50.1,0,1
6,2015,0,1,Corporate,Corporate,0,0,0,A,0,NA,12,0,Transient,35,0,0
13,2016,1,0,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient-Party,99,0,1
181,2016,2,1,Groups,TA/TO,0,0,0,A,0,11,NA,0,Transient,37,0,0
65,2016,0,1,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,79,0,0
162,2016,6,15,Groups,TA/TO,0,0,0,A,0,96,NA,0,Transient,82,0,0
72,2016,0,2,Online TA,TA/TO,0,0,0,G,0,240,NA,0,Transient,179,0,0
6,2017,0,3,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,128,0,1
8,2016,0,1,Corporate,Corporate,0,0,2,A,0,NA,82,0,Transient,30,0,0
345,2016,2,2,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,113.4,0,0
16,2017,2,1,Online TA,TA/TO,0,0,0,A,0,241,NA,0,Transient,72.8,0,1
4,2017,2,2,Online TA,TA/TO,0,0,0,A,0,526,NA,0,Transient,95,0,0
81,2016,0,3,Groups,TA/TO,0,0,0,E,0,115,NA,0,Transient-Party,93,0,0
11,2017,0,1,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,78,0,1
68,2016,2,5,Online TA,TA/TO,0,0,0,G,1,240,NA,0,Transient,122,0,0
2,2016,0,1,Offline TA/TO,TA/TO,1,0,1,A,0,330,NA,0,Group,34,0,1
113,2017,1,0,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,42,0,0
287,2017,2,4,Online TA,TA/TO,0,0,0,E,1,240,NA,0,Transient,107.1,0,2
213,2016,1,5,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,126,0,2
0,2017,0,1,Online TA,TA/TO,1,0,1,A,0,241,NA,0,Group,36.96,0,1
62,2017,2,2,Online TA,TA/TO,0,0,0,A,1,314,NA,0,Transient-Party,79.2,0,0
31,2017,0,3,Online TA,TA/TO,0,0,0,E,1,240,NA,0,Transient,75,1,0
186,2016,1,3,Offline TA/TO,TA/TO,0,0,0,E,0,156,NA,0,Transient,139.3,0,0
162,2016,1,3,Offline TA/TO,TA/TO,0,0,0,A,0,387,NA,0,Transient-Party,63,0,0
94,2016,1,5,Direct,Direct,0,0,0,A,2,250,NA,0,Transient,129.9,0,0
26,2017,2,6,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,205,0,0
138,2015,2,8,Offline TA/TO,TA/TO,0,0,0,D,0,243,NA,0,Contract,55.6,0,0
125,2016,0,1,Offline TA/TO,TA/TO,0,0,0,A,0,8,NA,0,Transient,57.6,1,0
1,2015,0,1,Online TA,TA/TO,0,0,0,G,0,240,NA,0,Transient,98,1,1
18,2016,0,1,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,75,0,1
146,2016,2,4,Online TA,TA/TO,0,0,0,E,0,242,NA,0,Transient,246,0,0
200,2017,2,2,Online TA,TA/TO,0,0,0,A,0,241,NA,0,Transient,57.14,0,1
24,2016,0,1,Direct,Direct,0,0,0,E,0,250,NA,0,Transient-Party,169,0,2
83,2016,2,5,Offline TA/TO,TA/TO,0,0,0,A,0,6,NA,0,Transient,26,0,0
110,2016,2,5,Offline TA/TO,TA/TO,0,0,0,E,0,171,NA,0,Transient,89.1,0,0
0,2016,1,0,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,43,0,0
252,2017,2,4,Online TA,TA/TO,0,0,0,D,2,240,NA,0,Transient,99.9,0,2
72,2017,2,5,Online TA,TA/TO,0,0,0,E,0,314,NA,0,Transient-Party,44.64,0,0
206,2016,2,5,Online TA,TA/TO,0,0,0,D,7,240,NA,0,Transient,55.25,0,1
187,2016,2,5,Offline TA/TO,TA/TO,0,0,0,A,0,314,NA,0,Transient,69.6,1,0
7,2017,1,3,Groups,Corporate,0,0,0,A,0,NA,223,0,Transient-Party,37,0,0
5,2015,0,1,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,60.4,1,1
284,2016,2,5,Direct,Direct,0,0,0,H,0,250,NA,0,Transient,224.5,1,0
1,2015,0,1,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,106.2,0,1
2,2016,0,1,Corporate,Corporate,0,0,2,A,0,NA,269,0,Transient,30,0,0
60,2016,1,3,Direct,Direct,0,0,0,E,1,250,NA,0,Transient,80.22,0,1
181,2017,6,19,Groups,TA/TO,0,0,0,A,0,440,NA,0,Transient-Party,58.6,0,0
18,2016,0,3,Groups,Corporate,0,0,0,E,1,NA,NA,0,Transient-Party,81,0,0
112,2015,0,3,Groups,Direct,0,0,0,E,0,NA,NA,0,Transient-Party,245.33,0,0
128,2016,0,1,Groups,Direct,0,0,0,A,0,NA,NA,0,Transient-Party,64,0,1
0,2017,0,1,Direct,Direct,0,0,0,A,0,NA,NA,0,Transient,115,0,0
175,2016,3,5,Online TA,TA/TO,0,0,0,E,0,241,NA,0,Transient,155.54,0,3
21,2017,0,4,Corporate,Corporate,0,0,0,A,0,NA,405,0,Transient-Party,36,0,0
1,2016,1,0,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,49,1,0
11,2015,2,1,Offline TA/TO,TA/TO,0,1,0,A,0,NA,NA,0,Transient-Party,68,0,0
385,2016,0,4,Groups,Direct,0,0,0,A,0,NA,NA,0,Transient,66,0,0
66,2015,1,1,Groups,TA/TO,0,0,0,A,0,155,NA,0,Transient-Party,64,0,0
166,2015,0,2,Groups,TA/TO,0,24,0,A,0,NA,NA,0,Transient,121.5,0,0
6,2015,2,5,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,180,1,2
52,2015,0,3,Online TA,TA/TO,0,0,0,G,1,240,NA,0,Transient,129,0,1
131,2016,0,4,Online TA,TA/TO,1,1,1,A,0,240,NA,0,Transient,58,0,0
7,2015,0,1,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,46.4,0,1
1,2016,4,6,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,85,0,1
22,2016,2,3,Offline TA/TO,TA/TO,0,0,0,A,0,171,NA,0,Transient,55,0,0
8,2015,2,1,Groups,TA/TO,0,1,0,A,0,38,NA,0,Transient-Party,68,0,0
114,2016,3,7,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,176,0,1
364,2016,0,4,Groups,Corporate,0,0,0,A,0,NA,223,0,Transient-Party,69,1,0
10,2016,0,2,Offline TA/TO,TA/TO,0,0,0,A,0,15,NA,0,Transient,29,0,0
0,2016,1,0,Corporate,Corporate,1,0,7,A,1,270,NA,0,Transient,42,0,0
18,2016,0,3,Online TA,TA/TO,0,0,0,E,1,240,NA,0,Transient,251,0,1
323,2017,2,5,Groups,TA/TO,0,0,0,A,0,NA,NA,0,Transient,72,0,0
1,2017,0,2,Direct,Direct,0,0,0,C,0,NA,NA,0,Transient,103,0,0
2,2016,1,1,Direct,Direct,0,0,0,D,0,250,NA,0,Transient,67.5,0,0
5,2016,0,1,Direct,Direct,0,0,0,A,0,250,NA,0,Transient,51,1,0
116,2016,2,1,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,171,0,2
214,2015,1,1,Offline TA/TO,TA/TO,0,1,0,A,0,208,NA,0,Transient,34,0,0
80,2016,0,2,Groups,TA/TO,0,0,0,D,3,253,NA,0,Transient-Party,44.8,0,0
6,2016,2,6,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,117.25,1,1
40,2015,0,4,Corporate,Corporate,0,0,0,A,2,185,281,0,Transient-Party,36,0,0
0,2017,0,1,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,75,0,0
112,2017,2,5,Offline TA/TO,TA/TO,0,0,0,A,0,40,NA,0,Contract,131.5,0,2
17,2016,2,1,Online TA,TA/TO,0,0,0,E,1,240,NA,0,Transient,57.2,0,1
149,2015,6,13,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,31.12,0,2
148,2016,2,1,Online TA,TA/TO,0,0,0,E,0,242,NA,0,Transient,90,0,1
18,2016,2,4,Online TA,TA/TO,1,0,0,F,0,241,NA,0,Transient,79,0,2
12,2017,2,2,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient-Party,78.5,0,2
0,2016,0,1,Direct,Direct,0,0,0,A,0,NA,NA,0,Transient,75,1,0
39,2015,2,5,Offline TA/TO,TA/TO,0,0,0,A,0,142,NA,0,Contract,133.43,0,0
41,2015,1,5,Online TA,TA/TO,0,0,0,G,0,240,NA,0,Transient,214,0,1
275,2016,2,5,Groups,Direct,0,0,0,D,0,273,NA,0,Transient-Party,72.45,0,0
169,2016,2,6,Offline TA/TO,TA/TO,0,0,0,D,0,314,NA,0,Transient,141.6,0,0
244,2015,2,5,Groups,TA/TO,0,1,0,A,0,96,NA,0,Transient-Party,8,0,0
12,2015,0,1,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,88.2,0,0
0,2016,0,1,Corporate,Corporate,0,0,0,A,0,NA,NA,0,Transient,40,0,0
7,2017,1,4,Online TA,TA/TO,0,0,0,D,0,241,NA,0,Transient,144,0,1
88,2016,2,5,Offline TA/TO,TA/TO,0,0,0,E,0,75,NA,0,Transient,51.43,0,2
134,2017,2,3,Online TA,TA/TO,0,0,0,F,0,241,NA,0,Transient,48.43,0,2
238,2016,0,3,Groups,TA/TO,0,0,0,D,0,1,NA,0,Transient,89,0,0
223,2016,2,6,Groups,Direct,0,0,0,A,1,NA,223,0,Transient-Party,66,0,0
108,2016,2,2,Groups,TA/TO,0,0,0,A,0,NA,NA,0,Transient,84,0,0
0,2016,0,2,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient-Party,54,0,0
95,2017,1,4,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,105,0,1
20,2016,0,1,Online TA,TA/TO,0,0,0,A,0,241,NA,0,Transient,36.96,0,0
100,2017,2,1,Groups,TA/TO,0,0,0,A,0,385,NA,0,Transient-Party,83,0,1
17,2017,0,2,Online TA,TA/TO,0,0,0,C,0,240,NA,0,Transient,274,0,2
0,2017,2,0,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,210,0,1
114,2015,1,3,Online TA,TA/TO,0,0,0,E,0,241,NA,0,Transient,87.05,0,0
18,2016,2,0,Corporate,Corporate,0,0,0,A,0,NA,135,0,Transient-Party,42,0,0
4,2016,0,2,Corporate,Corporate,1,0,1,A,0,NA,NA,0,Transient,45,0,1
23,2016,0,3,Online TA,TA/TO,0,0,0,A,0,314,NA,0,Transient,41.6,0,0
24,2017,1,4,Direct,Direct,0,0,0,E,0,250,NA,0,Transient,228,0,0
119,2016,2,2,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,118,0,1
277,2016,2,2,Groups,TA/TO,0,0,0,A,0,NA,NA,0,Transient,110,0,0
0,2015,0,4,Online TA,TA/TO,0,0,0,D,1,240,NA,0,Transient,73,0,0
24,2015,7,15,Corporate,Corporate,0,0,0,E,2,185,281,0,Transient-Party,52.2,0,0
11,2016,1,0,Groups,TA/TO,0,0,0,A,0,NA,405,0,Transient-Party,50,0,0
286,2015,2,2,Direct,Direct,0,0,0,A,0,2,NA,0,Transient,57.6,0,0
44,2016,1,1,Online TA,TA/TO,0,1,0,E,0,240,NA,0,Transient,122.5,0,1
112,2016,0,2,Groups,TA/TO,0,0,0,A,0,134,NA,0,Transient-Party,70,0,0
31,2017,0,3,Online TA,TA/TO,0,0,0,A,1,240,NA,0,Transient-Party,127,0,2
51,2015,0,3,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,103.5,0,1
107,2017,2,5,Direct,TA/TO,1,1,1,F,0,250,NA,0,Transient,116.07,0,3
85,2015,4,8,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,83.67,0,1
34,2015,2,8,Corporate,Corporate,0,0,0,A,2,185,281,0,Transient-Party,43.2,0,0
224,2016,2,5,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,62.29,0,0
0,2015,2,0,Direct,Direct,0,0,0,A,0,NA,NA,0,Transient,47,0,0
7,2017,0,1,Direct,Direct,0,0,0,A,0,250,NA,0,Transient,116,0,0
41,2015,1,3,Corporate,Corporate,0,0,0,A,1,185,281,0,Transient-Party,36,0,0
169,2017,1,2,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,110,0,2
8,2015,2,1,Groups,TA/TO,0,1,0,A,0,38,NA,0,Transient-Party,68,0,0
159,2016,0,2,Online TA,TA/TO,0,0,0,G,0,240,NA,0,Transient,259,0,0
3,2016,2,1,Online TA,TA/TO,0,0,0,A,0,242,NA,0,Transient,50.98,0,2
1,2015,2,2,Direct,Direct,0,0,0,A,0,NA,NA,0,Transient,48,0,1
117,2015,0,5,Offline TA/TO,TA/TO,0,0,0,D,0,242,NA,0,Transient-Party,186,0,1
22,2016,0,3,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient-Party,159,0,1
173,2017,1,3,Online TA,TA/TO,0,0,0,A,2,240,NA,0,Transient,89.9,1,4
1,2015,0,1,Corporate,Corporate,0,0,0,A,0,NA,NA,0,Transient,38,0,0
129,2016,0,2,Online TA,TA/TO,0,0,1,A,0,240,NA,0,Transient,110,0,1
98,2017,0,4,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,230,0,1
244,2016,2,5,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,80,0,1
93,2016,0,2,Online TA,TA/TO,0,0,0,A,3,240,NA,0,Transient-Party,151,0,0
8,2016,0,1,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,48,0,1
96,2017,2,5,Direct,Direct,0,0,0,F,0,250,NA,0,Transient,155,0,0
112,2017,0,3,Corporate,Corporate,0,0,0,A,0,NA,477,0,Transient-Party,40,0,0
0,2016,0,1,Direct,Direct,0,0,0,A,0,NA,NA,0,Transient,51,1,0
45,2015,2,1,Groups,TA/TO,0,0,0,A,0,38,NA,0,Transient-Party,68,0,0
220,2017,1,5,Online TA,TA/TO,0,0,0,A,2,240,NA,0,Transient-Party,48.9,0,1
16,2017,1,2,Corporate,Corporate,0,0,0,A,0,NA,498,0,Transient-Party,40.67,1,1
65,2016,1,2,Online TA,TA/TO,0,0,0,D,0,242,NA,0,Transient,192.67,0,1
92,2016,1,2,Groups,TA/TO,0,1,0,A,0,134,NA,0,Transient,79,0,0
55,2015,0,1,Direct,Direct,0,0,0,A,0,146,NA,0,Transient,112,0,0
32,2016,2,1,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient-Party,115.33,0,1
5,2016,1,0,Direct,Direct,0,0,0,A,0,NA,NA,0,Transient,39,1,0
66,2017,0,3,Direct,Direct,0,0,0,F,0,250,NA,0,Transient,80.07,0,0
257,2017,2,5,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient-Party,153.75,0,3
1,2017,0,2,Online TA,TA/TO,0,0,0,D,0,241,NA,0,Transient,171,0,1
12,2016,0,1,Direct,Direct,0,0,0,A,0,250,NA,0,Transient,149.1,0,0
352,2015,3,8,Offline TA/TO,TA/TO,0,0,0,D,1,40,NA,0,Contract,67.58,0,0
353,2017,2,5,Offline TA/TO,TA/TO,0,0,0,A,0,6,NA,0,Transient,68,0,0
0,2016,0,1,Online TA,Direct,1,0,2,A,0,240,NA,0,Transient,48,0,0
18,2016,0,1,Direct,Corporate,0,0,0,A,0,NA,NA,0,Transient,57.5,0,0
4,2017,0,2,Direct,Direct,0,0,0,C,2,250,NA,0,Transient,265.25,1,2
225,2017,2,3,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,57.8,0,0
23,2015,0,1,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,46.4,0,1
78,2017,0,3,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,42,0,2
249,2016,4,6,Offline TA/TO,TA/TO,0,0,0,D,2,143,NA,0,Transient,85,0,4
181,2016,4,8,Online TA,TA/TO,0,0,0,A,1,240,NA,0,Transient,160,0,2
68,2015,1,1,Online TA,TA/TO,0,0,0,D,2,241,NA,0,Transient,140.37,0,3
0,2017,0,1,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,48,0,1
51,2017,1,3,Direct,Direct,0,0,0,H,0,250,NA,0,Transient,170,0,2
36,2015,2,6,Corporate,Corporate,0,0,0,A,1,185,281,0,Transient-Party,36,0,0
3,2015,0,1,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,125,0,1
165,2016,0,3,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,166,1,1
189,2017,2,5,Offline TA/TO,TA/TO,0,0,0,E,0,40,NA,0,Transient,131.4,0,2
66,2017,2,4,Online TA,TA/TO,0,0,0,D,1,240,NA,0,Transient,79,1,1
99,2017,2,5,Offline TA/TO,TA/TO,0,0,0,D,0,40,NA,0,Contract,135,0,1
131,2016,2,0,Groups,Corporate,0,0,0,A,0,NA,NA,0,Transient-Party,55,0,0
1,2017,2,1,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,56,0,1
1,2015,1,1,Direct,Direct,0,0,0,A,0,250,NA,0,Transient,83,0,1
312,2017,2,5,Groups,TA/TO,0,0,0,A,0,298,NA,0,Transient-Party,30,0,0
205,2015,4,8,Offline TA/TO,TA/TO,0,0,0,D,0,156,NA,0,Contract,62.48,0,1
31,2017,2,4,Groups,TA/TO,0,0,0,A,0,298,NA,0,Transient-Party,93,0,0
31,2016,0,3,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,214,0,0
19,2017,0,3,Offline TA/TO,TA/TO,0,0,0,D,0,171,NA,0,Transient,42,0,0
87,2016,2,4,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,98,0,0
23,2016,2,3,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,80,0,1
32,2016,2,5,Groups,Direct,0,0,0,E,0,273,NA,0,Transient-Party,80.81,0,0
1,2016,0,1,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,63,0,1
4,2017,0,1,Offline TA/TO,TA/TO,0,0,0,A,0,146,NA,0,Transient,108,0,0
34,2015,2,5,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,274.93,0,2
0,2015,0,1,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,39,0,0
3,2017,1,0,Offline TA/TO,TA/TO,0,0,0,E,0,315,NA,0,Transient,0,1,1
207,2015,1,1,Offline TA/TO,TA/TO,0,1,0,A,0,208,NA,0,Transient,34,0,0
201,2016,1,5,Offline TA/TO,TA/TO,0,0,0,D,0,115,NA,0,Transient,52.2,0,2
5,2017,1,1,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,48,0,1
66,2015,1,3,Online TA,TA/TO,0,0,0,A,1,240,NA,0,Transient,32.4,0,4
197,2016,2,3,Online TA,TA/TO,0,0,1,D,0,240,NA,0,Transient,172,1,2
129,2016,0,4,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,49,0,1
245,2016,3,7,Groups,TA/TO,0,0,0,A,0,15,NA,0,Transient-Party,82,0,1
167,2016,2,5,Offline TA/TO,TA/TO,0,0,0,A,0,40,NA,0,Contract,92.1,0,0
25,2016,1,1,Groups,TA/TO,0,0,0,A,1,298,NA,0,Transient-Party,54.5,0,0
174,2016,0,4,Online TA,TA/TO,0,0,0,G,4,240,NA,0,Transient-Party,154,0,0
33,2016,0,2,Online TA,TA/TO,0,0,0,G,0,240,NA,0,Transient,199,0,1
49,2016,2,5,Direct,Direct,0,0,0,C,3,250,NA,0,Transient,286,1,2
40,2016,0,2,Groups,TA/TO,0,0,0,A,0,248,NA,0,Transient-Party,39,0,0
157,2016,2,5,Offline TA/TO,TA/TO,0,0,0,A,1,143,NA,0,Transient,51.85,0,0
19,2017,0,2,Online TA,TA/TO,0,0,0,F,0,241,NA,0,Transient,232,0,1
79,2016,1,0,Offline TA/TO,TA/TO,0,0,0,D,0,251,NA,0,Transient,59,0,0
94,2016,2,5,Offline TA/TO,TA/TO,0,0,0,D,1,243,NA,0,Contract,58.75,0,0
172,2017,2,5,Online TA,TA/TO,0,0,0,A,2,5,NA,0,Transient,202,0,0
251,2016,2,3,Online TA,TA/TO,0,0,0,G,1,240,NA,0,Transient,137,0,1
187,2016,2,2,Online TA,TA/TO,0,0,0,A,1,240,NA,0,Transient,52.2,0,0
4,2017,1,0,Online TA,TA/TO,0,0,0,A,0,314,NA,0,Transient,79.54,0,0
250,2016,2,7,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,88.4,0,0
107,2017,0,2,Groups,TA/TO,0,0,0,E,0,96,NA,0,Transient-Party,99,0,1
1,2016,0,1,Direct,Direct,0,0,0,E,0,NA,NA,0,Transient,91,0,1
1,2015,0,1,Direct,Direct,0,0,0,D,0,NA,NA,0,Transient,173,0,1
45,2016,2,0,Offline TA/TO,TA/TO,0,0,0,A,1,393,NA,0,Transient-Party,64.6,1,1
3,2017,1,1,Offline TA/TO,TA/TO,0,0,0,A,1,330,NA,0,Transient,0,1,0
155,2015,2,6,Offline TA/TO,TA/TO,0,1,0,A,0,142,NA,0,Contract,173.21,0,3
288,2017,2,7,Groups,TA/TO,0,0,0,G,0,527,NA,14,Transient-Party,131,0,1
2,2016,0,1,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,89,0,1
0,2017,1,0,Direct,Direct,0,0,0,A,0,NA,NA,0,Transient,52,1,0
72,2016,2,6,Offline TA/TO,TA/TO,0,0,0,A,0,96,NA,0,Transient-Party,36,0,0
43,2017,1,2,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient-Party,48,0,0
14,2016,3,6,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,68,0,1
131,2017,2,5,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,161.29,0,2
2,2017,1,0,Corporate,Direct,0,0,0,A,0,NA,195,0,Transient,35,0,0
38,2016,2,0,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,71,1,1
10,2016,0,3,Online TA,TA/TO,0,0,0,A,0,314,NA,0,Transient,38.4,0,0
148,2015,2,5,Offline TA/TO,TA/TO,0,0,0,A,1,261,NA,0,Transient,119.7,0,1
289,2015,0,1,Online TA,TA/TO,0,1,0,A,0,240,NA,0,Transient,36,0,0
6,2015,0,2,Corporate,Corporate,1,0,2,A,0,NA,47,0,Transient,35,0,0
1,2016,0,1,Direct,Direct,0,0,0,E,0,250,NA,0,Transient,65,0,0
58,2016,2,5,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,80,0,0
12,2016,0,3,Groups,Direct,0,0,0,A,1,385,NA,0,Transient-Party,85.33,0,0
265,2015,1,3,Groups,Corporate,0,14,0,A,0,183,NA,0,Transient,89.2,0,0
7,2017,1,3,Groups,Corporate,0,0,0,A,1,NA,223,0,Transient-Party,29,0,0
9,2016,0,4,Online TA,TA/TO,0,0,0,E,0,242,NA,0,Transient,118.5,0,1
1,2016,2,1,Direct,Direct,0,0,0,A,0,250,NA,0,Transient,45,0,1
260,2015,4,9,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,47.54,0,1
75,2016,0,3,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,79.2,0,1
24,2017,1,0,Corporate,Corporate,0,0,0,D,0,NA,498,0,Transient-Party,48,0,0
203,2016,2,5,Offline TA/TO,TA/TO,0,0,0,A,0,143,NA,0,Transient,51.85,0,2
1,2016,0,1,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,66,0,2
152,2017,1,4,Groups,TA/TO,0,0,0,A,3,NA,223,0,Transient-Party,42,0,0
216,2015,2,5,Online TA,TA/TO,0,1,0,H,0,240,NA,0,Transient,244,0,2
12,2016,1,1,Corporate,Corporate,1,1,5,A,0,NA,113,0,Transient,45,0,0
185,2016,2,2,Offline TA/TO,TA/TO,0,0,0,A,0,175,NA,0,Transient-Party,114,0,0
42,2015,0,3,Direct,Direct,0,0,0,E,0,NA,NA,0,Transient,198.33,1,0
57,2015,0,2,Groups,Direct,0,0,0,A,0,305,NA,0,Transient,107,0,0
136,2016,1,5,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,115,0,0
51,2016,0,1,Groups,TA/TO,0,0,0,A,0,66,NA,0,Transient-Party,30,0,0
25,2017,1,2,Online TA,TA/TO,0,0,0,A,0,242,NA,0,Transient,60,0,1
304,2017,2,3,Groups,TA/TO,0,0,0,A,0,298,NA,0,Transient,74,0,0
95,2017,2,5,Offline TA/TO,TA/TO,0,0,0,A,0,95,NA,0,Transient,48,0,0
5,2015,0,1,Corporate,Corporate,0,0,0,A,0,NA,NA,0,Transient-Party,43,0,1
78,2017,0,2,Online TA,TA/TO,0,0,0,F,0,241,NA,0,Transient,232,0,1
88,2017,2,1,Offline TA/TO,TA/TO,0,0,0,A,0,171,NA,0,Transient,68.4,0,0
184,2017,1,0,Online TA,TA/TO,0,0,0,A,0,242,NA,0,Transient,54,0,1
108,2016,2,5,Online TA,TA/TO,0,0,0,A,0,196,NA,0,Transient,249,0,0
0,2016,0,1,Corporate,Corporate,0,0,0,A,0,154,NA,0,Transient,37,0,0
3,2016,2,2,Direct,Direct,0,0,0,A,0,NA,NA,0,Transient,0,1,0
167,2015,2,8,Offline TA/TO,TA/TO,0,0,0,A,0,243,NA,0,Contract,48.88,0,2
313,2017,2,5,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,59.79,0,1
45,2017,2,1,Direct,Direct,0,0,0,D,0,250,NA,0,Transient,69,0,2
219,2016,2,5,Offline TA/TO,TA/TO,0,0,0,A,0,310,NA,0,Transient,52,0,0
51,2015,3,7,Offline TA/TO,TA/TO,0,0,0,A,0,142,NA,0,Contract,104.8,1,0
10,2016,1,3,Online TA,TA/TO,0,0,0,A,2,240,NA,0,Transient,52.25,0,1
211,2015,4,6,Offline TA/TO,TA/TO,0,0,0,E,0,115,NA,0,Contract,160.98,0,1
227,2017,1,1,Online TA,TA/TO,0,0,0,G,0,240,NA,0,Transient,180,0,1
112,2017,0,1,Online TA,TA/TO,0,0,0,A,0,241,NA,0,Transient,120.9,0,1
130,2017,2,8,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,100,0,2
123,2015,2,5,Offline TA/TO,TA/TO,0,0,0,A,0,196,NA,0,Transient,58.95,0,1
123,2016,0,0,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,0,0,1
