"","age_cat","who_should_get_benefits_US_workers","who_should_get_benefits_foreign_workers","who_should_get_benefits_US_business_owners","who_should_get_benefits_foreign_business_owners","wellorpoorly_You","wellorpoorly_Democrats","wellorpoorly_Repulicans","wellorpoorly_USA","wellorpoorly_Mexico","wellorpoorly_China","attention_on_coop_environment","attention_on_coop_living_standards","attention_on_coop_infectious_diseases","attention_on_coop_merged","inst_view_changed_UN","inst_view_changed_WHO","inst_view_changed_USMCA","definition_products","definition_ideas","definition_money","definition_jobs","definition_people","definition_culture","definition_tech","important_to_assessment_who_has_power","important_to_assessment_US_winners_losers","important_to_assessment_global_winners_losers","important_to_assessment_who_shapes_culture","what_improves_merged","issue_view_changed_environment","issue_view_changed_living_standards","issue_view_changed_infectious_diseases","responsibility_state_local_officials","responsibility_congress_members","responsibility_foreign_govts","responsibility_IOs","responsibility_MNCs","trade_view","un_membership","usmca_membership","who_membership","party_id","education","gender","income_cat","race","location","response_id","weight","above_45","college","male","income_high","white","suburban","urban","rural","republican","democrat","leave_UN","leave_WHO","leave_USMCA","change_mind_less_environ","change_mind_less_health","change_mind_less_living_standards","change_mind_more_environ","change_mind_more_health","change_mind_more_living_standards","us_workers_benefit_more","foreign_workers_benefit_more","US_business_owners_benefit_more","foreign_business_owners_benefit_more","us_workers_benefit_less","foreign_workers_benefit_less","us_business_owners_benefit_less","foreign_business_owners_benefit_less","issue_view_changed_environment_factor","attention_on_coop_environment_factor","attention_on_coop_living_standards_factor","attention_on_coop_infectious_diseases_factor","wellorpoorly_You_factor","wellorpoorly_Democrats_factor","wellorpoorly_Republicans_factor","wellorpoorly_USA_factor","wellorpoorly_Mexico_factor","wellorpoorly_China_factor","attention_on_coop_merged_factor","inst_view_changed_UN_positive","inst_view_changed_UN_negative","inst_view_changed_WHO_positive","inst_view_changed_WHO_negative","inst_view_changed_USMCA_positive","inst_view_changed_USMCA_negative","important_to_assessment_who_has_power_factor","important_to_assessment_US_winners_losers_factor","important_to_assessment_global_winners_losers_factor","important_to_assessment_who_shapes_culture_factor","give_govts_control","give_experts_control","give_communities_control","globalz_no_improvement_needed","responsibility_congress_members_factor","responsibility_foreign_govts_factor","responsibility_IOs_factor","responsibility_MNCs_factor","responsibility_state_local_officials_factor","state_local_officials_have_responsibility","congress_members_have_responsibility","foreign_govts_have_responsibility","IOs_have_responsibility","MNCs_have_responsibility","increasetrade_increasegovtspending","increasetrade_decreasegovtspending","decreasetrade_decreasegovtspending","decreasetrade_increasegovtspending","attention_on_coop_merged_high","attention_on_coop_merged_low","attention_on_coop_environment_high","attention_on_coop_environment_low","attention_on_coop_infectious_diseases_high","attention_on_coop_infectious_diseases_low","attention_on_coop_living_standards_high","attention_on_coop_living_standards_low","wellorpoorly_You_well","wellorpoorly_You_poorly","wellorpoorly_USA_well","wellorpoorly_USA_poorly","reform_UN_multi","reform_UN_single","reform_WHO_multi","reform_WHO_single","reform_USMCA_multi","reform_USMCA_single","issue_view_changed_environment_more","issue_view_changed_environment_less","issue_view_changed_infectious_diseases_more","issue_view_changed_infectious_diseases_less","issue_view_changed_living_standards_more","issue_view_changed_living_standards_less"
"478","45+","1- Greatest benefit","2-","3-","4- Least benefit",NA,"Neither well nor poorly","Somewhat poorly","Neither well nor poorly","Somewhat poorly","Very poorly","Slightly more attention","Far more attention","Far more attention","Current level is about right",NA,"I have become more critical of the institution.",NA,"Yes","No","Yes","No","Yes","No","No","Somewhat important","Somewhat important","Somewhat important","Somewhat important","The existing system of globalization does not need to be improved.","I have not changed my mind","I have not changed my mind","I have not changed my mind","Only a little responsibility","Only a little responsibility","Some responsibility","Some responsibility","Only a little responsibility","We should INCREASE international trade and INCREASE government spending in regions affected by international trade.","The US should stay in this institution but reform its mission.","The US should stay in this institution but reform its mission.","The US should stay in this institution but reform its mission.","Democrat","No College","Female","Income over $50k","Black or African American","Urban","R_2Wup9y5qV3jTaCI",0.81704884,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,NA,4,5,5,NA,3,2,3,2,1,3,NA,NA,0,1,NA,NA,3,3,3,3,0,0,0,1,2,3,3,2,2,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,NA,NA,0,0,1,1,1,1,1,1,0,0,0,0,0,0
"479","45+","1- Greatest benefit","3-","2-","4- Least benefit","Neither well nor poorly","Somewhat poorly","Neither well nor poorly","Somewhat poorly","Somewhat well","Very well","Far less attention","Slightly more attention","Far more attention","Far more attention","I have not changed my mind.","I have become more critical of the institution.","I have not changed my mind.","Yes","No","Yes","No","No","No","Yes","Only a little important","Very important","Somewhat important","Not at all important","Give citizens and communities more control over the system of globalization.","I have not changed my mind","I have not changed my mind","I have changed my mind to think that the US should devote more attention to working with other countries on this issue","Only a little responsibility","Some responsibility","Some responsibility","A lot of responsibility","A lot of responsibility","We should INCREASE international trade but DECREASE government spending in regions affected by international trade.","The US should stay in this institution but reform its mission.","The US should stay in this institution and leave its mission as it is.","The US should leave this institution and pursue this mission on its own.","Republican","College","Male","Income over $50k","White","Suburban","R_ZHIfxC6RGwUbRHb",2.40321241,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,NA,1,4,5,3,2,3,2,4,5,5,0,0,0,1,0,0,2,4,3,1,0,0,1,0,3,3,4,4,2,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0
"480","45+","2-","3-","1- Greatest benefit","3-",NA,"Somewhat well","Very poorly",NA,"Neither well nor poorly","Very well","Slightly more attention","Slightly more attention","Far more attention","Slightly more attention","I have become more critical of the institution.","I have become more supportive of the institution.","I have become more critical of the institution.","Yes","Yes","Yes","No","No","No","No","Very important","Very important","Somewhat important","Somewhat important","Give national governments more control over the system of globalization.","I have changed my mind to think that the US should devote more attention to working with other countries on this issue","I have changed my mind to think that the US should devote less attention to working with other countries on this issue","I have changed my mind to think that the US should devote more attention to working with other countries on this issue","Only a little responsibility","Some responsibility","A lot of responsibility","A lot of responsibility","Some responsibility","We should INCREASE international trade but DECREASE government spending in regions affected by international trade.","The US should stay in this institution but reform its mission.","The US should stay in this institution but reform its mission.","The US should leave this institution and build a new international institution to pursue this mission.","Democrat","No College","Male","Income over $50k","Black or African American","Rural","R_ThpR0jeYxyejI1X",1.43198632,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,NA,4,4,5,NA,4,1,NA,3,5,4,0,1,1,0,0,1,4,4,3,3,1,0,0,0,3,4,4,3,2,0,1,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,NA,NA,NA,NA,1,1,1,0,1,1,1,0,1,0,0,1
"481","45+","1- Greatest benefit","4- Least benefit","1- Greatest benefit","4- Least benefit","Somewhat poorly",NA,NA,"Somewhat poorly",NA,"Neither well nor poorly","Far less attention","Far more attention","Slightly less attention","Far less attention","I have become more critical of the institution.","I have become more critical of the institution.","I have become more critical of the institution.","Yes","No","No","Yes","No","No","Yes","Only a little important","Somewhat important","Only a little important","Somewhat important","Give citizens and communities more control over the system of globalization.","I have changed my mind to think that the US should devote less attention to working with other countries on this issue","I have not changed my mind","I have changed my mind to think that the US should devote less attention to working with other countries on this issue","Only a little responsibility","Only a little responsibility","Only a little responsibility","Some responsibility","A lot of responsibility","We should DECREASE international trade and DECREASE government spending in regions affected by international trade.","The US should stay in this institution but reform its mission.","The US should leave this institution and pursue this mission on its own.","The US should leave this institution and pursue this mission on its own.","Independent / Third party","College","Female","Income under $50k","White","Rural","R_3kcXy7Rrgguxq0w",1.27908432,1,1,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,NA,1,5,2,2,NA,NA,2,NA,3,1,0,1,0,1,0,1,2,3,2,3,0,0,1,0,2,2,3,4,2,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0
"482","45+","2-","3-","2-","3-","Somewhat well","Somewhat well","Somewhat well","Somewhat well",NA,"Somewhat well","Slightly more attention","Slightly more attention","Slightly more attention",NA,"I have become more critical of the institution.","I have become more critical of the institution.","I have become more critical of the institution.","No","No","No","No","Yes","Yes","Yes","Somewhat important","Only a little important","Only a little important","Only a little important",NA,"I have not changed my mind","I have not changed my mind","I have not changed my mind","Only a little responsibility","Some responsibility","Only a little responsibility","Some responsibility","Some responsibility","We should DECREASE international trade and DECREASE government spending in regions affected by international trade.","The US should stay in this institution but reform its mission.","The US should stay in this institution but reform its mission.","The US should stay in this institution but reform its mission.","Independent / Third party","College","Female","Income over $50k","White","Rural","R_R8EDYmg36RMycsF",1.46193359,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,NA,4,4,4,4,4,4,4,NA,4,NA,0,1,0,1,0,1,3,2,2,2,NA,NA,NA,NA,3,2,3,3,2,0,1,0,1,1,0,0,1,0,NA,NA,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0
"483","45+","1- Greatest benefit","4- Least benefit","1- Greatest benefit","4- Least benefit","Very poorly","Very poorly","Very poorly","Very poorly","Very poorly","Very poorly","Slightly more attention","Far more attention","Far more attention","Slightly more attention","I have become more critical of the institution.","I have become more supportive of the institution.",NA,"No","Yes","No","No","Yes","No","Yes","Not at all important","Not at all important","Not at all important","Not at all important","Give citizens and communities more control over the system of globalization.","I have changed my mind to think that the US should devote more attention to working with other countries on this issue","I have changed my mind to think that the US should devote more attention to working with other countries on this issue","I have changed my mind to think that the US should devote more attention to working with other countries on this issue","Some responsibility","Some responsibility","A lot of responsibility","Some responsibility","Some responsibility","We should DECREASE international trade but INCREASE government spending in regions affected by international trade.","The US should stay in this institution but reform its mission.","The US should stay in this institution but reform its mission.","The US should stay in this institution but reform its mission.","Democrat","No College","Female","Income over $50k","White","Suburban","R_1ImHEB4LXxdCgqN",0.81622598,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,NA,4,5,5,1,1,1,1,1,1,4,0,1,1,0,NA,NA,1,1,1,1,0,0,1,0,3,4,3,3,3,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0
"484","45+","4- Least benefit","3-","3-","2-",NA,"Somewhat well","Somewhat poorly","Somewhat well",NA,NA,"Far more attention","Far more attention","Far more attention",NA,"I have become more supportive of the institution.","I have become more supportive of the institution.","I have become more supportive of the institution.","No","No","Yes","Yes","No","No","Yes","Somewhat important","Somewhat important","Somewhat important","Somewhat important","The existing system of globalization does not need to be improved.","I have not changed my mind","I have not changed my mind","I have not changed my mind","Only a little responsibility","Only a little responsibility","Only a little responsibility","Some responsibility","Some responsibility","We should INCREASE international trade but DECREASE government spending in regions affected by international trade.","The US should stay in this institution but reform its mission.","The US should stay in this institution but reform its mission.","The US should stay in this institution and leave its mission as it is.","Democrat","No College","Female","Income under $50k","Black or African American","Urban","R_2ruyDwBD37L7omt",0.76219027,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,NA,5,5,5,NA,4,2,4,NA,NA,NA,1,0,1,0,1,0,3,3,3,3,0,0,0,1,2,2,3,3,2,0,0,0,1,1,0,1,0,0,NA,NA,1,0,1,0,1,0,NA,NA,1,0,1,1,0,0,1,1,0,0,0,0,0,0
"485","45+","1- Greatest benefit","3-","2-","4- Least benefit","Neither well nor poorly","Neither well nor poorly","Neither well nor poorly","Neither well nor poorly","Somewhat poorly","Very poorly","Slightly more attention","Slightly more attention","Slightly more attention","Slightly more attention","I have not changed my mind.","I have become more critical of the institution.",NA,"Yes","No","No","No","Yes","No","Yes","Somewhat important","Somewhat important","Somewhat important","Somewhat important","The existing system of globalization does not need to be improved.","I have changed my mind to think that the US should devote more attention to working with other countries on this issue","I have changed my mind to think that the US should devote more attention to working with other countries on this issue","I have changed my mind to think that the US should devote more attention to working with other countries on this issue","Only a little responsibility","Some responsibility","Some responsibility","A lot of responsibility","Only a little responsibility","We should DECREASE international trade and DECREASE government spending in regions affected by international trade.","The US should leave this institution and pursue this mission on its own.","The US should stay in this institution but reform its mission.","The US should leave this institution and pursue this mission on its own.","Republican","College","Female","Income over $50k","White","Urban","R_DCsyIblYn3RbgVb",1.19318599,1,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,NA,4,4,4,3,3,3,3,2,1,4,0,0,0,1,NA,NA,3,3,3,3,0,0,0,1,3,3,4,2,2,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0
"486","45+","2-","2-","2-","2-","Neither well nor poorly","Neither well nor poorly","Neither well nor poorly","Neither well nor poorly","Somewhat poorly","Neither well nor poorly","Far more attention","Slightly more attention","Slightly more attention","Current level is about right","I have not changed my mind.","I have become more critical of the institution.","I have become more critical of the institution.","No","Yes","No","No","Yes","No","Yes","Somewhat important","Somewhat important","Somewhat important","Somewhat important","Give national governments more control over the system of globalization.","I have changed my mind to think that the US should devote more attention to working with other countries on this issue","I have changed my mind to think that the US should devote more attention to working with other countries on this issue","I have changed my mind to think that the US should devote more attention to working with other countries on this issue","No responsibility","Only a little responsibility","Some responsibility","Some responsibility","Some responsibility","We should INCREASE international trade and INCREASE government spending in regions affected by international trade.","The US should stay in this institution and leave its mission as it is.","The US should stay in this institution but reform its mission.","The US should stay in this institution but reform its mission.","Democrat","No College","Male","Income over $50k","White","Rural","R_33kBoQLLc5pNqI9",0.18183053,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,NA,5,4,4,3,3,3,3,2,3,3,0,0,0,1,0,1,3,3,3,3,1,0,0,0,2,3,3,3,1,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0
"487","45+","1- Greatest benefit","2-","1- Greatest benefit","2-",NA,"Somewhat well","Neither well nor poorly","Somewhat well","Neither well nor poorly","Somewhat well","Far more attention","Far more attention","Far more attention","Current level is about right","I have not changed my mind.","I have become more supportive of the institution.","I have not changed my mind.","No","Yes","Yes","No","No","No","Yes","Very important","Very important","Very important","Somewhat important","Give citizens and communities more control over the system of globalization.","I have changed my mind to think that the US should devote more attention to working with other countries on this issue","I have changed my mind to think that the US should devote more attention to working with other countries on this issue","I have changed my mind to think that the US should devote more attention to working with other countries on this issue","A lot of responsibility","A lot of responsibility","A lot of responsibility","A lot of responsibility","A lot of responsibility","We should INCREASE international trade and INCREASE government spending in regions affected by international trade.","The US should stay in this institution but reform its mission.","The US should stay in this institution but reform its mission.","The US should stay in this institution but reform its mission.","Democrat","College","Female","Income under $50k","White","Urban","R_2aK6j1FI5DboccK",0.98310217,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,NA,5,5,5,NA,4,3,4,3,4,3,0,0,1,0,0,0,4,4,4,3,0,0,1,0,4,4,4,4,4,1,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,NA,NA,1,0,1,1,1,1,1,1,1,0,1,0,1,0
"488","Under 45","1- Greatest benefit","1- Greatest benefit","3-","3-","Neither well nor poorly",NA,NA,"Neither well nor poorly",NA,NA,"Far more attention","Slightly more attention","Far more attention","Slightly more attention","I have not changed my mind.","I have not changed my mind.","I have not changed my mind.","No","No","Yes","No","Yes","No","Yes","Very important","Very important","Very important","Very important","Give citizens and communities more control over the system of globalization.","I have changed my mind to think that the US should devote more attention to working with other countries on this issue","I have changed my mind to think that the US should devote more attention to working with other countries on this issue","I have changed my mind to think that the US should devote more attention to working with other countries on this issue","Only a little responsibility","Only a little responsibility","A lot of responsibility","A lot of responsibility","Some responsibility","We should INCREASE international trade and INCREASE government spending in regions affected by international trade.","The US should stay in this institution but reform its mission.","The US should stay in this institution but reform its mission.","The US should stay in this institution and leave its mission as it is.","Democrat","College","Female","Income over $50k","White","Urban","R_1LbcgCAtGaCAEda",1.20452326,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,NA,5,4,5,3,NA,NA,3,NA,NA,4,0,0,0,0,0,0,4,4,4,4,0,0,1,0,2,4,4,3,2,0,0,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0
"489","45+","1- Greatest benefit","2-","3-","1- Greatest benefit","Very well","Very well",NA,"Very well",NA,NA,"Far more attention","Far less attention","Far more attention","Far more attention","I have become more supportive of the institution.","I have become more critical of the institution.",NA,"No","No","No","Yes","No","Yes","Yes","Very important","Very important","Very important","Very important","Give experts more control over the system of globalization.","I have changed my mind to think that the US should devote more attention to working with other countries on this issue","I have changed my mind to think that the US should devote less attention to working with other countries on this issue","I have changed my mind to think that the US should devote more attention to working with other countries on this issue","Only a little responsibility","A lot of responsibility","A lot of responsibility","Only a little responsibility","Only a little responsibility","We should INCREASE international trade but DECREASE government spending in regions affected by international trade.","The US should leave this institution and build a new international institution to pursue this mission.","The US should stay in this institution and leave its mission as it is.","The US should stay in this institution but reform its mission.","Democrat","No College","Male","Income over $50k","Black or African American","Rural","R_3e2WIbE7it55HrH",2.60895335,1,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,0,NA,5,1,5,5,5,NA,5,NA,NA,5,1,0,0,1,NA,NA,4,4,4,4,0,1,0,0,4,4,2,2,2,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1
"490","45+","2-","1- Greatest benefit","3-","4- Least benefit","Somewhat well","Somewhat well","Somewhat well","Neither well nor poorly","Somewhat well","Very well","Slightly more attention","Far more attention","Current level is about right","Current level is about right","I have become more critical of the institution.","I have not changed my mind.","I have not changed my mind.","No","Yes","No","No","No","Yes","Yes","Very important","Very important","Very important","Somewhat important","Give experts more control over the system of globalization.","I have changed my mind to think that the US should devote more attention to working with other countries on this issue","I have not changed my mind","I have changed my mind to think that the US should devote more attention to working with other countries on this issue","Only a little responsibility","A lot of responsibility","A lot of responsibility","A lot of responsibility","Some responsibility","We should INCREASE international trade and INCREASE government spending in regions affected by international trade.","The US should stay in this institution but reform its mission.","The US should stay in this institution and leave its mission as it is.","The US should stay in this institution and leave its mission as it is.","Democrat","No College","Female","Income over $50k","Asian","Rural","R_1rwv2hZVGXxuCqr",0.77800692,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,NA,4,5,3,4,4,4,3,4,5,3,0,1,0,0,0,0,4,4,4,3,0,1,0,0,4,4,4,3,2,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0
"491","45+","2-","2-","2-","3-","Somewhat well","Somewhat well","Neither well nor poorly","Somewhat well","Somewhat well","Neither well nor poorly","Slightly more attention","Slightly more attention","Far more attention","Slightly more attention","I have not changed my mind.","I have not changed my mind.","I have not changed my mind.","Yes","No","No","Yes","No","Yes","No","Somewhat important","Somewhat important","Somewhat important","Very important","Give experts more control over the system of globalization.","I have not changed my mind","I have not changed my mind","I have not changed my mind","Some responsibility","Some responsibility","Some responsibility","Some responsibility","Some responsibility","We should INCREASE international trade but DECREASE government spending in regions affected by international trade.","The US should stay in this institution but reform its mission.","The US should stay in this institution but reform its mission.","The US should stay in this institution but reform its mission.","Democrat","College","Female","Income over $50k","Hispanic or Latino/a","Suburban","R_339H6m96qNJGHAg",0.17048813,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,NA,4,4,5,4,4,3,4,4,3,4,0,0,0,0,0,0,3,3,3,4,0,1,0,0,3,3,3,3,3,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0
"492","45+","1- Greatest benefit","4- Least benefit","1- Greatest benefit","4- Least benefit","Neither well nor poorly","Very poorly","Somewhat well","Neither well nor poorly","Very poorly","Very poorly","Slightly more attention","Far more attention","Far more attention","Far more attention",NA,"I have become more critical of the institution.","I have become more critical of the institution.","No","No","Yes","No","Yes","No","Yes","Somewhat important","Somewhat important","Somewhat important","Only a little important","Give citizens and communities more control over the system of globalization.",NA,"I have not changed my mind","I have changed my mind to think that the US should devote more attention to working with other countries on this issue","A lot of responsibility","Some responsibility","Some responsibility","A lot of responsibility","A lot of responsibility","We should DECREASE international trade but INCREASE government spending in regions affected by international trade.","The US should stay in this institution but reform its mission.","The US should stay in this institution but reform its mission.","The US should stay in this institution but reform its mission.","Republican","College","Female","Income under $50k","White","Urban","R_2cvL3z0eVuvNOhz",1.24560569,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,NA,4,5,5,3,1,4,3,1,1,5,NA,NA,0,1,0,1,3,3,3,2,0,0,1,0,3,3,4,4,4,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,NA,NA,1,0,0,0
"493","45+","3-","3-","2-","3-",NA,NA,NA,NA,NA,NA,"Current level is about right","Current level is about right","Current level is about right",NA,NA,NA,NA,"No","No","Yes","No","Yes","Yes","No","Somewhat important","Only a little important","Not at all important","Not at all important","Give citizens and communities more control over the system of globalization.","I have not changed my mind","I have not changed my mind","I have not changed my mind","Some responsibility","Some responsibility","Some responsibility","Some responsibility","Some responsibility","We should DECREASE international trade and DECREASE government spending in regions affected by international trade.","The US should stay in this institution and leave its mission as it is.",NA,"The US should stay in this institution and leave its mission as it is.","Independent / Third party","No College","Female","Income over $50k","White","Rural","R_2PnbsURltdHaoz2",0.67076749,1,0,0,1,1,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,1,0,1,1,0,1,NA,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,1,0,0,1,0,3,3,3,3,3,1,1,1,1,1,0,0,1,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0,0,0,0
"494","45+","1- Greatest benefit","4- Least benefit","1- Greatest benefit","2-","Neither well nor poorly","Very poorly","Very well","Very well",NA,NA,"Slightly more attention","Far more attention","Far more attention","Far more attention","I have become more critical of the institution.","I have become more critical of the institution.","I have become more critical of the institution.","Yes","No","No","Yes","No","No","Yes","Very important","Very important","Very important","Very important","Give citizens and communities more control over the system of globalization.","I have changed my mind to think that the US should devote more attention to working with other countries on this issue","I have changed my mind to think that the US should devote more attention to working with other countries on this issue","I have changed my mind to think that the US should devote more attention to working with other countries on this issue","Some responsibility","A lot of responsibility","A lot of responsibility","A lot of responsibility","A lot of responsibility","We should INCREASE international trade but DECREASE government spending in regions affected by international trade.","The US should leave this institution and no longer pursue this mission.","The US should leave this institution and build a new international institution to pursue this mission.","The US should stay in this institution but reform its mission.","Republican","No College","Female","Income under $50k","White","Suburban","R_QhP6ZNrC9e6hb7X",0.83823477,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,NA,4,5,5,3,1,5,5,NA,NA,5,0,1,0,1,0,1,4,4,4,4,0,0,1,0,4,4,4,4,3,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,1,0
"495","45+","2-","1- Greatest benefit","3-","4- Least benefit","Neither well nor poorly","Neither well nor poorly","Somewhat well","Somewhat well","Somewhat well","Very well","Slightly more attention","Slightly more attention","Far more attention","Slightly more attention","I have become more critical of the institution.","I have become more critical of the institution.","I have not changed my mind.","No","Yes","No","No","No","Yes","Yes","Very important","Somewhat important","Very important","Somewhat important","Give citizens and communities more control over the system of globalization.","I have changed my mind to think that the US should devote more attention to working with other countries on this issue","I have changed my mind to think that the US should devote more attention to working with other countries on this issue","I have not changed my mind","Some responsibility","Some responsibility","Some responsibility","A lot of responsibility","A lot of responsibility","We should DECREASE international trade but INCREASE government spending in regions affected by international trade.","The US should stay in this institution but reform its mission.","The US should stay in this institution and leave its mission as it is.","The US should stay in this institution but reform its mission.","Democrat","College","Female","Income over $50k","White","Urban","R_1CqMDGYeaoxgUJH",0.96077073,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,NA,4,4,5,3,3,4,4,4,5,4,0,1,0,1,0,0,4,3,4,3,0,0,1,0,3,3,4,4,3,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0
"496","45+","1- Greatest benefit","2-","1- Greatest benefit","2-","Neither well nor poorly","Neither well nor poorly","Neither well nor poorly","Neither well nor poorly","Neither well nor poorly","Neither well nor poorly","Slightly more attention","Far more attention","Current level is about right","Far less attention","I have become more critical of the institution.","I have become more supportive of the institution.","I have not changed my mind.","No","Yes","No","No","No","Yes","Yes","Somewhat important","Somewhat important","Somewhat important","Somewhat important","Give citizens and communities more control over the system of globalization.","I have changed my mind to think that the US should devote less attention to working with other countries on this issue","I have changed my mind to think that the US should devote less attention to working with other countries on this issue","I have changed my mind to think that the US should devote less attention to working with other countries on this issue","Some responsibility","Some responsibility","Some responsibility","Some responsibility","Some responsibility","We should INCREASE international trade and INCREASE government spending in regions affected by international trade.","The US should stay in this institution but reform its mission.","The US should stay in this institution but reform its mission.","The US should stay in this institution but reform its mission.","Democrat","No College","Female","Income under $50k","White","Urban","R_3qf0rY5bVtHj2IW",0.5616655,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,NA,4,5,3,3,3,3,3,3,3,1,0,1,1,0,0,0,3,3,3,3,0,0,1,0,3,3,3,3,3,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,1
"497","45+","1- Greatest benefit","2-","1- Greatest benefit","2-","Very poorly","Very poorly","Very poorly","Very poorly","Very poorly","Very poorly","Far less attention","Far less attention","Far less attention","Slightly less attention","I have not changed my mind.","I have not changed my mind.","I have not changed my mind.","No","No","Yes","No","Yes","No","Yes","Not at all important","Very important","Very important","Not at all important","The existing system of globalization does not need to be improved.","I have not changed my mind","I have not changed my mind","I have not changed my mind","A lot of responsibility","A lot of responsibility","A lot of responsibility","A lot of responsibility","A lot of responsibility","We should DECREASE international trade and DECREASE government spending in regions affected by international trade.","The US should leave this institution and no longer pursue this mission.","The US should stay in this institution and leave its mission as it is.","The US should leave this institution and no longer pursue this mission.","Republican","No College","Female","Income over $50k","White","Suburban","R_2E4d2gQruFxgAoF",0.73076653,1,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,NA,1,1,1,1,1,1,1,1,1,2,0,0,0,0,0,0,1,4,4,1,0,0,0,1,4,4,4,4,4,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
